Nombre,Tipo,Fecha Compra,Gr/ud,Precio total,previo por gramo,Agotado
plateado 200,PLA,12/10/2025,200,€4.54,€0.022700,FALSE
Tarjeta sd,Otros,12/10/2025,1,€10.00,€10.000000,FALSE
Tiras led,luces,12/10/2025,3,€7.19,€2.40,FALSE
Lampara led,luces,20/10/2025,4,€9.81,€2.45,FALSE
Placas colorinchis,Otros,23/10/2025,2,€12.84,€6.420000,FALSE
negro,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
blanco matte,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
arena matte,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
azul matte,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
verde matte,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
rojo matte,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
rosa basic,PLA,28/10/2025,1000,€10.41,€0.010410,FALSE
Blanco lito,PLA,28/10/2025,1000,€14.66,€0.014660,TRUE
azul lito,PLA,28/10/2025,1000,€14.66,€0.014660,FALSE
amarilllo lito,PLA,28/10/2025,1000,€14.66,€0.014660,FALSE
magenta lito,PLA,28/10/2025,1000,€14.66,€0.014660,FALSE
Llaveros 30uds,Llaveros,31/10/2025,30,€0.00,€0.00,TRUE
Luz tactil,luces,1/11/2025,3,€4.01,€1.34,FALSE
Llaveros 50uds,Llaveros,1/11/2025,150,€3.53,€0.02,FALSE
Luz bolitas blanca,luces,18/11/2025,12,€3.39,€0.28,FALSE
Luz bolitas amarilla,luces,18/11/2025,5,€1.99,€0.40,FALSE
Hilo oro,Otros,18/11/2025,1,€1.30,€1.30,FALSE
Luz litopane,Luces lithopane,20/11/2025,8,€19.88,€2.49,FALSE
negro basic eSun,PLA,5/12/2025,1000,€10.21,€0.010210,FALSE
blanco basic eSun,PLA,5/12/2025,1000,€10.20,€0.010200,FALSE
Maquina pegatinas,Otros,6/12/2025,1,€6.79,€6.79,FALSE
Rollo papel adhesivo ,Otros,6/12/2025,5,€2.39,€0.48,FALSE
Negro PETG,PETG,8/12/2025,1000,€13.29,€0.013290,FALSE
Beige basic Deeplee,PLA,21/12/2025,1000,€15.99,€0.015990,FALSE
negro basic eSun 2,PLA,3/1/2026,1000,€9.70,€0.009700,FALSE
blanco basic eSun 2,PLA,3/1/2026,1000,€9.70,€0.009700,FALSE
amarillo limon,PLA,6/1/2026,1000,€12.65,€0.012650,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE